,value,Target,taxa,CAZy.ID,pathway_completeness_abundance,pathway_capacity
25228,3.2.1.31,Heparan Sulfate,Erwinia sp.,GH2,1,2.9197171442817904
25229,3.2.1.31,Heparan Sulfate,Bifidobacterium bifidum,GH2,1,5.0138339650387005
25230,3.2.1.31,Heparan Sulfate,Pedobacter heparinus,GH2,1,3.5379439923201095
25231,3.2.1.31,Heparan Sulfate,Escherichia coli,GH2,1,4.951896640835541
25232,3.2.1.31,Heparan Sulfate,Thermotoga naphthophila,GH2,1,2.30188335116755
25233,3.2.1.31,Heparan Sulfate,Escherichia coli,GH2,1,4.951896640835541
25234,3.2.1.31,Heparan Sulfate,Enterobacter agglomerans,GH2,0,1.3271781231494901
25235,3.2.1.31,Heparan Sulfate,Shigella boydii,GH2,1,4.46740066481724
25236,3.2.1.31,Heparan Sulfate,Opitutus terrae,GH2,1,2.84900016087073
25237,3.2.1.31,Heparan Sulfate,Roseburia intestinalis,GH2,1,5.494855325243269
25238,3.2.1.31,Heparan Sulfate,Escherichia coli,GH2,1,4.951896640835541
25239,3.2.1.31,Heparan Sulfate,Streptomyces scabiei,GH2,1,2.58395741874664
25240,3.2.1.31,Heparan Sulfate,Bacteroides fragilis,GH2,1,5.3304405525083
25241,3.2.1.31,Heparan Sulfate,Geobacter bemidjiensis,GH2,1,2.99333607056611
25242,3.2.1.31,Heparan Sulfate,Butyrivibrio proteoclasticus,GH2,1,4.21337592324907
25243,3.2.1.31,Heparan Sulfate,Prevotella ruminicola,GH2,1,4.4647447951226695
25244,3.2.1.31,Heparan Sulfate,Bacteroides fragilis,GH2,1,5.3304405525083
25245,3.2.1.31,Heparan Sulfate,Escherichia coli,GH2,1,4.951896640835541
25246,3.2.1.31,Heparan Sulfate,Escherichia coli,GH2,1,4.951896640835541
25247,3.2.1.31,Heparan Sulfate,Nostoc punctiforme,GH2,1,2.37668225845304
25248,3.2.1.31,Heparan Sulfate,Bacteroides fragilis,GH2,1,5.3304405525083
25249,3.2.1.31,Heparan Sulfate,Deinococcus geothermalis,GH2,1,2.5287326529694303
25250,3.2.1.31,Heparan Sulfate,Thermobaculum terrenum,GH2,1,2.79176510014744
25251,3.2.1.31,Heparan Sulfate,Shigella dysenteriae,GH2,1,4.38956589949009
25252,3.2.1.31,Heparan Sulfate,Ruminiclostridium cellulolyticum,GH2,1,4.26150962751106
25253,3.2.1.31,Heparan Sulfate,Escherichia coli,GH2,1,4.951896640835541
25254,3.2.1.31,Heparan Sulfate,Nocardiopsis dassonvillei,GH2,1,2.73171608767385
25255,3.2.1.31,Heparan Sulfate,Shigella flexneri,GH2,1,4.38421820190403
25256,3.2.1.31,Heparan Sulfate,Roseburia intestinalis,GH2,1,5.494855325243269
25257,3.2.1.31,Heparan Sulfate,Escherichia coli,GH2,1,4.951896640835541
25258,3.2.1.31,Heparan Sulfate,Bifidobacterium bifidum,GH2,1,5.0138339650387005
25259,3.2.1.31,Heparan Sulfate,Streptococcus mitis,GH1,1,4.43215794895412
25260,3.2.1.31,Heparan Sulfate,Lactobacillus plantarum,GH2,1,3.4832886780958905
25261,3.2.1.31,Heparan Sulfate,Flavobacterium johnsoniae,GH2,1,3.52515534105155
25262,3.2.1.31,Heparan Sulfate,Parabacteroides distasonis,GH2,1,5.50032629968351
25263,3.2.1.31,Heparan Sulfate,Paenibacillus sp.,GH2,1,3.71630119162046
25264,3.2.1.31,Heparan Sulfate,Faecalibacterium prausnitzii,GH2,1,5.70310455655676
25265,3.2.1.31,Heparan Sulfate,Escherichia coli,GH2,1,4.951896640835541
25266,3.2.1.31,Heparan Sulfate,Lactobacillus helveticus,GH2,1,4.19120836090101
25267,3.2.1.31,Heparan Sulfate,Pseudothermotoga lettingae,GH2,1,2.00306092804824
25268,3.2.1.31,Heparan Sulfate,Shewanella amazonensis,GH2,1,2.21211605016398
25269,3.2.1.31,Heparan Sulfate,Geobacillus sp.,GH2,1,3.64830473035353
25270,3.2.1.31,Heparan Sulfate,Streptococcus pneumoniae,GH2,1,3.8980096134335898
25271,3.2.1.31,Heparan Sulfate,Bifidobacterium bifidum,GH2,1,5.0138339650387005
25272,3.2.1.31,Heparan Sulfate,Yersinia pestis,GH2,1,3.43316780461944
25273,3.2.1.31,Heparan Sulfate,Escherichia coli,GH2,1,4.951896640835541
25274,3.2.1.31,Heparan Sulfate,Listeria monocytogenes,GH1,1,2.6521620634898198
25275,3.2.1.31,Heparan Sulfate,Geobacter sp.,GH2,1,3.05441933702869
25276,3.2.1.31,Heparan Sulfate,Dyadobacter fermentans,GH2,1,3.41798356307307
25277,3.2.1.31,Heparan Sulfate,Kribbella flavida,GH2,1,2.57475751184268
25278,3.2.1.31,Heparan Sulfate,Escherichia coli,GH2,1,4.951896640835541
25279,3.2.1.31,Heparan Sulfate,Bacteroides thetaiotaomicron,GH2,1,5.668359111645381
25280,3.2.1.31,Heparan Sulfate,Solibacter usitatus,GH2,1,3.6943821763069398
25281,3.2.1.31,Heparan Sulfate,Shigella dysenteriae,GH2,1,4.38956589949009
25282,3.2.1.31,Heparan Sulfate,Capnocytophaga ochracea,GH2,1,3.16831196133327
25283,3.2.1.31,Heparan Sulfate,Paraburkholderia phytofirmans,GH2,1,3.21698638049074
25284,3.2.1.31,Heparan Sulfate,Frankia sp.,GH2,1,2.89027335739317
25285,3.2.1.31,Heparan Sulfate,Sinorhizobium medicae,GH2,1,2.84019845261457
25286,3.2.1.31,Heparan Sulfate,Escherichia coli,GH2,1,4.951896640835541
25287,3.2.1.31,Heparan Sulfate,Cronobacter sakazakii,GH2,1,3.66391710192657
25288,3.2.1.31,Heparan Sulfate,Xylanimonas cellulosilytica,GH2,1,3.1691527315828996
25289,3.2.1.31,Heparan Sulfate,Gramella forsetii,GH2,1,3.3118484505669703
25290,3.2.1.31,Heparan Sulfate,Faecalibacterium prausnitzii,GH2,1,5.70310455655676
25291,3.2.1.31,Heparan Sulfate,Streptococcus thermophilus,GH2,1,3.2381812750938703
25292,3.2.1.31,Heparan Sulfate,Bacteroides xylanisolvens,GH2,1,5.75584866860618
25293,3.2.1.31,Heparan Sulfate,Pantoea ananatis,GH2,1,3.1966861500677997
25294,3.2.1.31,Heparan Sulfate,Brevundimonas subvibrioides,GH2,1,2.5254862740124504
25295,3.2.1.31,Heparan Sulfate,Parabacteroides distasonis,GH2,1,5.50032629968351
25296,3.2.1.31,Heparan Sulfate,Bifidobacterium longum,GH2,1,5.04975962481765
25297,3.2.1.31,Heparan Sulfate,Ruminococcus gnavus,GH2,1,5.3965235103622495
25298,3.2.1.31,Heparan Sulfate,Escherichia coli,GH2,1,4.951896640835541
25299,3.2.1.31,Heparan Sulfate,Pediococcus pentosaceus,GH1,1,3.7004506767350094
25300,3.2.1.31,Heparan Sulfate,Shigella flexneri,GH1,1,4.38421820190403
25301,3.2.1.31,Heparan Sulfate,Coraliomargarita akajimensis,GH2,1,3.0183552613307403
25302,3.2.1.31,Heparan Sulfate,Roseburia intestinalis,GH2,1,5.494855325243269
25303,3.2.1.31,Heparan Sulfate,Escherichia coli,GH2,1,4.951896640835541
25304,3.2.1.31,Heparan Sulfate,Prevotella ruminicola,GH2,1,4.4647447951226695
25305,3.2.1.31,Heparan Sulfate,Escherichia coli,GH2,1,4.951896640835541
25306,3.2.1.31,Heparan Sulfate,Bacteroides thetaiotaomicron,GH2,1,5.668359111645381
25307,3.2.1.31,Heparan Sulfate,Clostridium saccharolyticum,GH2,1,5.056490176339469
25308,3.2.1.31,Heparan Sulfate,Geobacillus sp.,GH2,1,3.64830473035353
25309,3.2.1.31,Heparan Sulfate,Anaerostipes hadrus,GH1,1,5.39405378158229
25310,3.2.1.31,Heparan Sulfate,Clostridium acetobutylicum,GH1,0,1.97012823445052
25311,3.2.1.31,Heparan Sulfate,Paenibacillus polymyxa,GH1,1,3.72719395517451
25312,3.2.1.31,Heparan Sulfate,Escherichia coli,GH1,1,4.951896640835541
25313,3.2.1.31,Heparan Sulfate,Streptococcus pyogenes,GH1,1,4.64590972834113
25314,3.2.1.31,Heparan Sulfate,Streptococcus pyogenes,GH1,1,4.64590972834113
25315,3.2.1.31,Heparan Sulfate,Azospirillum sp.,GH2,1,2.54965315620596
25316,3.2.1.31,Heparan Sulfate,Bacteroides xylanisolvens,GH2,1,5.75584866860618
25317,3.2.1.31,Heparan Sulfate,Flavobacterium johnsoniae,GH2,1,3.52515534105155
25318,3.2.1.31,Heparan Sulfate,Lachnoclostridium phytofermentans,GH2,1,4.4406206293143
25319,3.2.1.31,Heparan Sulfate,Clostridioides difficile,GH1,1,5.0399653062844
25320,3.2.1.31,Heparan Sulfate,Leuconostoc citreum,GH1,1,3.62243653252206
25321,3.2.1.31,Heparan Sulfate,Thermoanaerobacter pseudethanolicus,GH2,1,3.37065589369722
25322,3.2.1.31,Heparan Sulfate,Thermotoga neapolitana,GH2,1,2.1948962941343
25323,3.2.1.31,Heparan Sulfate,Paenibacillus polymyxa,GH2,1,3.72719395517451
25324,3.2.1.31,Heparan Sulfate,Paenarthrobacter aurescens,GH2,1,2.65457583669122
25325,3.2.1.31,Heparan Sulfate,Dickeya dadantii,GH1,1,3.17305321355402
25326,3.2.1.31,Heparan Sulfate,Bacillus subtilis,GH1,1,3.0206492310500597
25327,3.2.1.31,Heparan Sulfate,Xanthomonas campestris,GH2,1,2.8363215345072503
25328,3.2.1.31,Heparan Sulfate,Stackebrandtia nassauensis,GH30,1,2.7054078848331
25329,3.2.1.31,Heparan Sulfate,Roseburia intestinalis,GH2,1,5.494855325243269
25330,3.2.1.31,Heparan Sulfate,Spirochaeta thermophila,GH2,1,3.4127553157188304
25331,3.2.1.31,Heparan Sulfate,Escherichia coli,GH2,1,4.951896640835541
25332,3.2.1.31,Heparan Sulfate,Paenibacillus polymyxa,GH2,1,3.72719395517451
25333,3.2.1.31,Heparan Sulfate,Bacteroides fragilis,GH2,1,5.3304405525083
25334,3.2.1.31,Heparan Sulfate,Clostridium cellulovorans,GH2,1,4.29596725530513
25335,3.2.1.31,Heparan Sulfate,Citrobacter rodentium,GH2,1,4.0072442770118
25336,3.2.1.31,Heparan Sulfate,Bacteroides vulgatus,GH2,1,5.9811943271971
25337,3.2.1.31,Heparan Sulfate,Capnocytophaga ochracea,GH2,1,3.16831196133327
25338,3.2.1.31,Heparan Sulfate,Lactobacillus crispatus,GH2,1,3.9118347306094905
25339,3.2.1.31,Heparan Sulfate,Shewanella sediminis,GH2,0,1.92531923201879
25340,3.2.1.31,Heparan Sulfate,Geobacillus thermodenitrificans,GH1,1,3.27468628825594
25341,3.2.1.31,Heparan Sulfate,Xanthomonas campestris,GH2,1,2.8363215345072503
25342,3.2.1.31,Heparan Sulfate,Pectobacterium carotovorum,GH1,1,3.14644261114384
25343,3.2.1.31,Heparan Sulfate,Escherichia coli,GH2,1,4.951896640835541
25344,3.2.1.31,Heparan Sulfate,Bacteroides xylanisolvens,GH2,1,5.75584866860618
25345,3.2.1.31,Heparan Sulfate,Opitutus terrae,GH2,1,2.84900016087073
25346,3.2.1.31,Heparan Sulfate,Escherichia coli,GH2,1,4.951896640835541
25347,3.2.1.31,Heparan Sulfate,Marinomonas sp.,GH79,1,3.07545145861567
25348,3.2.1.31,Heparan Sulfate,Streptococcus pneumoniae,GH1,1,3.8980096134335898
25349,3.2.1.31,Heparan Sulfate,Lactobacillus johnsonii,GH1,1,3.82198804499448
25350,3.2.1.31,Heparan Sulfate,Clostridium saccharolyticum,GH1,1,5.056490176339469
25351,3.2.1.31,Heparan Sulfate,Escherichia coli,GH1,1,4.951896640835541
25352,3.2.1.31,Heparan Sulfate,Magnetospirillum magneticum,GH1,1,2.98395455647644
25353,3.2.1.31,Heparan Sulfate,Clostridium beijerinckii,GH1,1,4.1721923270502295
25354,3.2.1.31,Heparan Sulfate,Dinoroseobacter shibae,GH1,1,2.43376604830731
25355,3.2.1.31,Heparan Sulfate,Pedobacter heparinus,GH2,1,3.5379439923201095
25356,3.2.1.31,Heparan Sulfate,Streptococcus pneumoniae,GH1,1,3.8980096134335898
25357,3.2.1.31,Heparan Sulfate,Listeria innocua,GH1,1,2.6429376335742103
25358,3.2.1.31,Heparan Sulfate,Streptococcus agalactiae,GH1,1,2.4433504628317797
25359,3.2.1.31,Heparan Sulfate,Streptomyces coelicolor,GH1,1,1.75848197891152
25360,3.2.1.31,Heparan Sulfate,Thermobispora bispora,GH1,1,2.60300281926376
25361,3.2.1.31,Heparan Sulfate,Salinispora tropica,GH1,1,2.51207408270967
25362,3.2.1.31,Heparan Sulfate,[Eubacterium] rectale,GH2,1,5.645131414141621
25363,3.2.1.31,Heparan Sulfate,Pedobacter heparinus,GH2,1,3.5379439923201095
25364,3.2.1.31,Heparan Sulfate,Bacteroides fragilis,GH2,1,5.3304405525083
25365,3.2.1.31,Heparan Sulfate,Akkermansia muciniphila,GH2,1,5.31745977923797
25366,3.2.1.31,Heparan Sulfate,Actinomyces naeslundii,GH1,0,1.97537969815355
25367,3.2.1.31,Heparan Sulfate,Escherichia coli,GH2,1,4.951896640835541
25368,3.2.1.31,Heparan Sulfate,Segniliparus rotundus,GH2,1,2.39227622755837
25369,3.2.1.31,Heparan Sulfate,Exiguobacterium sp.,GH1,1,3.6040414012016297
25370,3.2.1.31,Heparan Sulfate,Butyrivibrio fibrisolvens,GH1,1,4.0796753423388
25371,3.2.1.31,Heparan Sulfate,Rhizobium leguminosarum,GH2,1,2.7656644968592
25372,3.2.1.31,Heparan Sulfate,Kribbella flavida,GH2,1,2.57475751184268
25373,3.2.1.31,Heparan Sulfate,Bacillus velezensis,GH30,1,3.00759183073709
25374,3.2.1.31,Heparan Sulfate,Streptococcus pneumoniae,GH2,1,3.8980096134335898
25375,3.2.1.31,Heparan Sulfate,Agrobacterium radiobacter,GH2,1,2.77307739788969
25376,3.2.1.31,Heparan Sulfate,Enterococcus faecalis,GH2,1,4.49339211643988
25377,3.2.1.31,Heparan Sulfate,Xanthomonas axonopodis,GH2,1,1.90226110578444
25378,3.2.1.31,Heparan Sulfate,Dickeya paradisiaca,GH1,1,3.0187193215555603
25379,3.2.1.31,Heparan Sulfate,Citrobacter freundii,GH2,1,2.75564232679752
25380,3.2.1.31,Heparan Sulfate,Streptococcus pyogenes,GH1,1,4.64590972834113
25381,3.2.1.31,Heparan Sulfate,Xanthomonas campestris,GH30,1,2.8363215345072503
25382,3.2.1.31,Heparan Sulfate,Streptococcus thermophilus,GH2,1,3.2381812750938703
25383,3.2.1.31,Heparan Sulfate,Bacteroides xylanisolvens,GH2,1,5.75584866860618
25384,3.2.1.31,Heparan Sulfate,Escherichia coli,GH2,1,4.951896640835541
25385,3.2.1.31,Heparan Sulfate,Prevotella melaninogenica,GH2,1,4.6456222383270305
25386,3.2.1.31,Heparan Sulfate,Aliivibrio fischeri,GH2,1,2.14897601291706
25387,3.2.1.31,Heparan Sulfate,Roseburia intestinalis,GH2,1,5.494855325243269
25388,3.2.1.31,Heparan Sulfate,Dictyoglomus thermophilum,GH2,1,2.5979890894941096
25389,3.2.1.31,Heparan Sulfate,Bacteroides vulgatus,GH2,1,5.9811943271971
25390,3.2.1.31,Heparan Sulfate,Klebsiella pneumoniae,GH2,1,3.52749946072475
25391,3.2.1.31,Heparan Sulfate,Bifidobacterium bifidum,GH2,1,5.0138339650387005
25392,3.2.1.31,Heparan Sulfate,Clostridium perfringens,GH2,1,4.09243971490905
25393,3.2.1.31,Heparan Sulfate,Rhizobium leguminosarum,GH2,1,2.7656644968592
25394,3.2.1.31,Heparan Sulfate,Cupriavidus metallidurans,GH2,1,2.96034480308574
25395,3.2.1.31,Heparan Sulfate,Bacteroides thetaiotaomicron,GH2,1,5.668359111645381
25396,3.2.1.31,Heparan Sulfate,Klebsiella pneumoniae,GH2,1,3.52749946072475
25397,3.2.1.31,Heparan Sulfate,Vibrio vulnificus,GH2,0,1.6258698866676202
25398,3.2.1.31,Heparan Sulfate,Bacteroides xylanisolvens,GH2,1,5.75584866860618
25399,3.2.1.31,Heparan Sulfate,Bacteroides xylanisolvens,GH2,1,5.75584866860618
25400,3.2.1.31,Heparan Sulfate,Burkholderia ambifaria,GH2,1,2.82251976837784
25401,3.2.1.31,Heparan Sulfate,Streptococcus suis,GH2,1,4.75869111023251
25402,3.2.1.31,Heparan Sulfate,Bacteroides vulgatus,GH2,1,5.9811943271971
25403,3.2.1.31,Heparan Sulfate,Bacteroides fragilis,GH2,1,5.3304405525083
25404,3.2.1.31,Heparan Sulfate,Shigella flexneri,GH2,1,4.38421820190403
25405,3.2.1.31,Heparan Sulfate,Bacteroides fragilis,GH2,1,5.3304405525083
25406,3.2.1.31,Heparan Sulfate,Opitutus terrae,GH2,1,2.84900016087073
25407,3.2.1.31,Heparan Sulfate,Sebaldella termitidis,GH1,1,2.8999787863234103
25408,3.2.1.31,Heparan Sulfate,Escherichia coli,GH2,1,4.951896640835541
25409,3.2.1.31,Heparan Sulfate,Spirochaeta thermophila,GH30,1,3.4127553157188304
25410,3.2.1.31,Heparan Sulfate,Shigella flexneri,GH1,1,4.38421820190403
25411,3.2.1.31,Heparan Sulfate,Paenibacillus sp.,GH30,1,3.71630119162046
25412,3.2.1.31,Heparan Sulfate,Zunongwangia profunda,GH30,1,3.4931793177685697
25413,3.2.1.31,Heparan Sulfate,Bacteroides fragilis,GH2,1,5.3304405525083
25414,3.2.1.31,Heparan Sulfate,Streptococcus mitis,GH2,1,4.43215794895412
25415,3.2.1.31,Heparan Sulfate,Chitinophaga pinensis,GH2,1,3.13218186064423
25416,3.2.1.31,Heparan Sulfate,Opitutus terrae,GH2,1,2.84900016087073
25417,3.2.1.31,Heparan Sulfate,Streptococcus thermophilus,GH2,1,3.2381812750938703
25418,3.2.1.31,Heparan Sulfate,Ruegeria sp.,GH1,1,2.92341186648386
25419,3.2.1.31,Heparan Sulfate,Lactococcus lactis,GH1,1,4.5353188775982005
25420,3.2.1.31,Heparan Sulfate,Streptomyces bingchenggensis,GH2,1,2.54626192656466
25421,3.2.1.31,Heparan Sulfate,Frankia sp.,GH2,1,2.89027335739317
25422,3.2.1.31,Heparan Sulfate,Kineococcus radiotolerans,GH2,1,3.03645741994958
25423,3.2.1.31,Heparan Sulfate,Agrobacterium radiobacter,GH2,1,2.77307739788969
25424,3.2.1.31,Heparan Sulfate,Bacteroides fragilis,GH2,1,5.3304405525083
25425,3.2.1.31,Heparan Sulfate,Catenulispora acidiphila,GH2,1,2.8865341235953905
25426,3.2.1.31,Heparan Sulfate,Escherichia coli,GH2,1,4.951896640835541
25427,3.2.1.31,Heparan Sulfate,Frankia sp.,GH1,1,2.89027335739317
25428,3.2.1.31,Heparan Sulfate,Nitrosospira multiformis,GH2,1,3.12650645871688
25429,3.2.1.31,Heparan Sulfate,Flavobacterium johnsoniae,GH2,1,3.52515534105155
25430,3.2.1.31,Heparan Sulfate,Agrobacterium fabrum,GH2,1,2.6269014564887203
25431,3.2.1.31,Heparan Sulfate,Thermoanaerobacter pseudethanolicus,GH2,1,3.37065589369722
25432,3.2.1.31,Heparan Sulfate,Bacteroides thetaiotaomicron,GH2,1,5.668359111645381
25433,3.2.1.31,Heparan Sulfate,Shigella boydii,GH2,1,4.46740066481724
25434,3.2.1.31,Heparan Sulfate,Paenibacillus sp.,GH2,1,3.71630119162046
25435,3.2.1.31,Heparan Sulfate,Lactococcus lactis,GH1,1,4.5353188775982005
25436,3.2.1.31,Heparan Sulfate,Lactobacillus johnsonii,GH1,1,3.82198804499448
25437,3.2.1.31,Heparan Sulfate,Opitutus terrae,GH2,1,2.84900016087073
25438,3.2.1.31,Heparan Sulfate,Bacteroides xylanisolvens,GH2,1,5.75584866860618
25439,3.2.1.31,Heparan Sulfate,Thermoanaerobacter italicus,GH2,1,3.17619519930224
25440,3.2.1.31,Heparan Sulfate,Maribacter sp.,GH2,1,3.44241628507443
25441,3.2.1.31,Heparan Sulfate,Escherichia coli,GH2,1,4.951896640835541
25442,3.2.1.31,Heparan Sulfate,Paraburkholderia phymatum,GH1,0,0.76286904376644
25443,3.2.1.31,Heparan Sulfate,Streptomyces bingchenggensis,GH1,1,2.54626192656466
25444,3.2.1.31,Heparan Sulfate,Citrobacter rodentium,GH1,1,4.0072442770118
25445,3.2.1.31,Heparan Sulfate,Flavobacterium johnsoniae,GH1,1,3.52515534105155
25446,3.2.1.31,Heparan Sulfate,Burkholderia mallei,GH2,1,3.7275489142933305
25447,3.2.1.31,Heparan Sulfate,Shigella boydii,GH2,1,4.46740066481724
25448,3.2.1.31,Heparan Sulfate,Escherichia coli,GH2,1,4.951896640835541
25449,3.2.1.31,Heparan Sulfate,Bacteroides thetaiotaomicron,GH2,1,5.668359111645381
25450,3.2.1.31,Heparan Sulfate,Caulobacter sp.,GH30,1,2.5739784411092903
25451,3.2.1.31,Heparan Sulfate,Bacteroides thetaiotaomicron,GH2,1,5.668359111645381
25452,3.2.1.31,Heparan Sulfate,Erwinia amylovora,GH2,1,2.90156557957192
25453,3.2.1.31,Heparan Sulfate,Clostridium saccharolyticum,GH1,1,5.056490176339469
25454,3.2.1.31,Heparan Sulfate,Zunongwangia profunda,GH2,1,3.4931793177685697
25455,3.2.1.31,Heparan Sulfate,Pseudoalteromonas atlantica,GH2,1,2.3419495330725297
25456,3.2.1.31,Heparan Sulfate,Bacteroides vulgatus,GH30,1,5.9811943271971
25457,3.2.1.31,Heparan Sulfate,Xanthomonas campestris,GH30,1,2.8363215345072503
25458,3.2.1.31,Heparan Sulfate,Chitinophaga pinensis,GH30,1,3.13218186064423
25459,3.2.1.31,Heparan Sulfate,Bacteroides vulgatus,GH2,1,5.9811943271971
25460,3.2.1.31,Heparan Sulfate,Geobacillus kaustophilus,GH1,1,3.1767992487971197
25461,3.2.1.31,Heparan Sulfate,Burkholderia sp.,GH1,1,3.1851209730448105
25462,3.2.1.31,Heparan Sulfate,Caulobacter sp.,GH2,1,2.5739784411092903
25463,3.2.1.31,Heparan Sulfate,Bacteroides vulgatus,GH2,1,5.9811943271971
25464,3.2.1.31,Heparan Sulfate,Bifidobacterium bifidum,GH1,1,5.0138339650387005
25465,3.2.1.31,Heparan Sulfate,Shewanella pealeana,GH2,1,2.21293979023834
25466,3.2.1.31,Heparan Sulfate,Vibrio cholerae,GH2,1,2.40198353735233
25467,3.2.1.31,Heparan Sulfate,Stackebrandtia nassauensis,GH30,1,2.7054078848331
25468,3.2.1.31,Heparan Sulfate,Streptococcus pneumoniae,GH1,1,3.8980096134335898
25469,3.2.1.31,Heparan Sulfate,Leuconostoc kimchii,GH1,1,3.5785914167402204
25470,3.2.1.31,Heparan Sulfate,Lactobacillus paracasei,GH1,1,4.03996324087402
25471,3.2.1.31,Heparan Sulfate,Herpetosiphon aurantiacus,GH1,1,2.46721973706614
25472,3.2.1.31,Heparan Sulfate,Xylanimonas cellulosilytica,GH1,1,3.1691527315828996
25473,3.2.1.31,Heparan Sulfate,Streptococcus dysgalactiae,GH1,1,3.64352502583433
25474,3.2.1.31,Heparan Sulfate,Bacillus megaterium,GH1,1,3.0927288703237497
25475,3.2.1.31,Heparan Sulfate,Escherichia coli,GH1,1,4.951896640835541
25476,3.2.1.31,Heparan Sulfate,Actinobacillus succinogenes,GH1,1,2.68433808426139
25477,3.2.1.31,Heparan Sulfate,Spiroplasma citri,GH1,1,1.0930542926481401
25478,3.2.1.31,Heparan Sulfate,Erwinia amylovora,GH1,1,2.90156557957192
25479,3.2.1.31,Heparan Sulfate,Erwinia sp.,GH1,1,2.9197171442817904
25480,3.2.1.31,Heparan Sulfate,Bacteroides thetaiotaomicron,GH2,1,5.668359111645381
25481,3.2.1.31,Heparan Sulfate,Bacteroides vulgatus,GH2,1,5.9811943271971
25482,3.2.1.31,Heparan Sulfate,Enterobacter lignolyticus,GH2,1,3.96898872706393
25483,3.2.1.31,Heparan Sulfate,Aeromonas hydrophila,GH1,1,3.1031220522333998
25484,3.2.1.31,Heparan Sulfate,Streptococcus pneumoniae,GH1,1,3.8980096134335898
25485,3.2.1.31,Heparan Sulfate,Bacteroides xylanisolvens,GH2,1,5.75584866860618
25486,3.2.1.31,Heparan Sulfate,Cytophaga hutchinsonii,GH1,1,3.43861474475756
25487,3.2.1.31,Heparan Sulfate,Streptomyces ambofaciens,GH2,1,2.5139691602838
25488,3.2.1.31,Heparan Sulfate,Paenibacillus sp.,GH2,1,3.71630119162046
25489,3.2.1.31,Heparan Sulfate,Akkermansia muciniphila,GH2,1,5.31745977923797
25490,3.2.1.31,Heparan Sulfate,Paludibacter propionicigenes,GH2,1,3.91016074253106
25491,3.2.1.31,Heparan Sulfate,Clostridium acetobutylicum,GH30,0,1.97012823445052
25492,3.2.1.31,Heparan Sulfate,Acidothermus cellulolyticus,GH1,1,2.7445074157105696
25493,3.2.1.31,Heparan Sulfate,Bacteroides vulgatus,GH2,1,5.9811943271971
25494,3.2.1.31,Heparan Sulfate,Streptococcus pneumoniae,GH1,1,3.8980096134335898
25495,3.2.1.31,Heparan Sulfate,Escherichia coli,GH1,1,4.951896640835541
25496,3.2.1.31,Heparan Sulfate,[Eubacterium] rectale,GH2,1,5.645131414141621
25497,3.2.1.31,Heparan Sulfate,Kribbella flavida,GH2,1,2.57475751184268
25498,3.2.1.31,Heparan Sulfate,Anaerostipes hadrus,GH1,1,5.39405378158229
25499,3.2.1.31,Heparan Sulfate,Streptococcus pneumoniae,GH1,1,3.8980096134335898
25500,3.2.1.31,Heparan Sulfate,Bacteroides thetaiotaomicron,GH2,1,5.668359111645381
25501,3.2.1.31,Heparan Sulfate,Bacteroides thetaiotaomicron,GH2,1,5.668359111645381
25502,3.2.1.31,Heparan Sulfate,Actinosynnema mirum,GH2,1,2.69871879128583
