,taxa,CAZy.ID,pathway_capacity,pathway_completeness_abundance
25307,Clostridium saccharolyticum,GH2,5.0564901763394685,1
25308,Geobacillus sp.,GH2,3.64830473035353,1
25309,Anaerostipes hadrus,GH1,5.39405378158229,1
25310,Clostridium acetobutylicum,GH1,1.97012823445052,0
25311,Paenibacillus polymyxa,GH1,3.72719395517451,1
25312,Escherichia coli,GH1,4.951896640835541,1
25313,Streptococcus pyogenes,GH1,4.64590972834113,1
25314,Streptococcus pyogenes,GH1,4.64590972834113,1
25315,Azospirillum sp.,GH2,2.54965315620596,1
25316,Bacteroides xylanisolvens,GH2,5.75584866860618,1
25317,Flavobacterium johnsoniae,GH2,3.52515534105155,1
25318,Lachnoclostridium phytofermentans,GH2,4.4406206293143,1
25319,Clostridioides difficile,GH1,5.0399653062844,1
25320,Leuconostoc citreum,GH1,3.62243653252206,1
25321,Thermoanaerobacter pseudethanolicus,GH2,3.37065589369722,1
25322,Thermotoga neapolitana,GH2,2.1948962941343,1
25323,Paenibacillus polymyxa,GH2,3.72719395517451,1
25324,Paenarthrobacter aurescens,GH2,2.65457583669122,1
25325,Dickeya dadantii,GH1,3.17305321355402,1
25326,Bacillus subtilis,GH1,3.02064923105006,1
25327,Xanthomonas campestris,GH2,2.8363215345072503,1
25328,Stackebrandtia nassauensis,GH30,2.7054078848331,1
25329,Roseburia intestinalis,GH2,5.494855325243268,1
25330,Spirochaeta thermophila,GH2,3.4127553157188304,1
25331,Escherichia coli,GH2,4.951896640835541,1
25332,Paenibacillus polymyxa,GH2,3.72719395517451,1
25333,Bacteroides fragilis,GH2,5.3304405525083,1
25334,Clostridium cellulovorans,GH2,4.29596725530513,1
25335,Citrobacter rodentium,GH2,4.0072442770118,1
25336,Bacteroides vulgatus,GH2,5.9811943271971,1
25337,Capnocytophaga ochracea,GH2,3.16831196133327,1
25338,Lactobacillus crispatus,GH2,3.9118347306094905,1
25339,Shewanella sediminis,GH2,1.92531923201879,0
25340,Geobacillus thermodenitrificans,GH1,3.27468628825594,1
25341,Xanthomonas campestris,GH2,2.8363215345072503,1
25342,Pectobacterium carotovorum,GH1,3.14644261114384,1
25343,Escherichia coli,GH2,4.951896640835541,1
25344,Bacteroides xylanisolvens,GH2,5.75584866860618,1
25345,Opitutus terrae,GH2,2.84900016087073,1
25346,Escherichia coli,GH2,4.951896640835541,1
25347,Marinomonas sp.,GH79,3.07545145861567,1
25348,Streptococcus pneumoniae,GH1,3.8980096134335898,1
25349,Lactobacillus johnsonii,GH1,3.82198804499448,1
25350,Clostridium saccharolyticum,GH1,5.0564901763394685,1
25351,Escherichia coli,GH1,4.951896640835541,1
25352,Magnetospirillum magneticum,GH1,2.98395455647644,1
25353,Clostridium beijerinckii,GH1,4.1721923270502295,1
25354,Dinoroseobacter shibae,GH1,2.43376604830731,1
25355,Pedobacter heparinus,GH2,3.537943992320109,1
25356,Streptococcus pneumoniae,GH1,3.8980096134335898,1
25357,Listeria innocua,GH1,2.6429376335742103,1
25358,Streptococcus agalactiae,GH1,2.44335046283178,1
25359,Streptomyces coelicolor,GH1,1.75848197891152,1
25360,Thermobispora bispora,GH1,2.60300281926376,1
25361,Salinispora tropica,GH1,2.51207408270967,1
25362,[Eubacterium] rectale,GH2,5.645131414141622,1
25363,Pedobacter heparinus,GH2,3.537943992320109,1
25364,Bacteroides fragilis,GH2,5.3304405525083,1
25365,Akkermansia muciniphila,GH2,5.31745977923797,1
25366,Actinomyces naeslundii,GH1,1.97537969815355,0
25367,Escherichia coli,GH2,4.951896640835541,1
25368,Segniliparus rotundus,GH2,2.39227622755837,1
25369,Exiguobacterium sp.,GH1,3.6040414012016297,1
25370,Butyrivibrio fibrisolvens,GH1,4.0796753423388,1
25371,Rhizobium leguminosarum,GH2,2.7656644968592,1
25372,Kribbella flavida,GH2,2.57475751184268,1
25373,Bacillus velezensis,GH30,3.00759183073709,1
25374,Streptococcus pneumoniae,GH2,3.8980096134335898,1
25375,Agrobacterium radiobacter,GH2,2.77307739788969,1
25376,Enterococcus faecalis,GH2,4.49339211643988,1
25377,Xanthomonas axonopodis,GH2,1.90226110578444,1
25378,Dickeya paradisiaca,GH1,3.0187193215555603,1
25379,Citrobacter freundii,GH2,2.75564232679752,1
25380,Streptococcus pyogenes,GH1,4.64590972834113,1
25381,Xanthomonas campestris,GH30,2.8363215345072503,1
25382,Streptococcus thermophilus,GH2,3.2381812750938703,1
25383,Bacteroides xylanisolvens,GH2,5.75584866860618,1
25384,Escherichia coli,GH2,4.951896640835541,1
25385,Prevotella melaninogenica,GH2,4.645622238327031,1
25386,Aliivibrio fischeri,GH2,2.14897601291706,1
25387,Roseburia intestinalis,GH2,5.494855325243268,1
25388,Dictyoglomus thermophilum,GH2,2.5979890894941096,1
25389,Bacteroides vulgatus,GH2,5.9811943271971,1
25390,Klebsiella pneumoniae,GH2,3.52749946072475,1
25391,Bifidobacterium bifidum,GH2,5.0138339650387005,1
25392,Clostridium perfringens,GH2,4.09243971490905,1
25393,Rhizobium leguminosarum,GH2,2.7656644968592,1
25394,Cupriavidus metallidurans,GH2,2.96034480308574,1
25395,Bacteroides thetaiotaomicron,GH2,5.6683591116453815,1
25396,Klebsiella pneumoniae,GH2,3.52749946072475,1
25397,Vibrio vulnificus,GH2,1.6258698866676202,0
25398,Bacteroides xylanisolvens,GH2,5.75584866860618,1
25399,Bacteroides xylanisolvens,GH2,5.75584866860618,1
25400,Burkholderia ambifaria,GH2,2.82251976837784,1
25401,Streptococcus suis,GH2,4.75869111023251,1
25402,Bacteroides vulgatus,GH2,5.9811943271971,1
25403,Bacteroides fragilis,GH2,5.3304405525083,1
25404,Shigella flexneri,GH2,4.38421820190403,1
25405,Bacteroides fragilis,GH2,5.3304405525083,1
25406,Opitutus terrae,GH2,2.84900016087073,1
25407,Sebaldella termitidis,GH1,2.8999787863234103,1
25408,Escherichia coli,GH2,4.951896640835541,1
25409,Spirochaeta thermophila,GH30,3.4127553157188304,1
25410,Shigella flexneri,GH1,4.38421820190403,1
25411,Paenibacillus sp.,GH30,3.71630119162046,1
25412,Zunongwangia profunda,GH30,3.4931793177685697,1
25413,Bacteroides fragilis,GH2,5.3304405525083,1
25414,Streptococcus mitis,GH2,4.43215794895412,1
25415,Chitinophaga pinensis,GH2,3.13218186064423,1
25416,Opitutus terrae,GH2,2.84900016087073,1
25417,Streptococcus thermophilus,GH2,3.2381812750938703,1
25418,Ruegeria sp.,GH1,2.92341186648386,1
25419,Lactococcus lactis,GH1,4.5353188775982005,1
25420,Streptomyces bingchenggensis,GH2,2.54626192656466,1
25421,Frankia sp.,GH2,2.89027335739317,1
25422,Kineococcus radiotolerans,GH2,3.03645741994958,1
25423,Agrobacterium radiobacter,GH2,2.77307739788969,1
25424,Bacteroides fragilis,GH2,5.3304405525083,1
25425,Catenulispora acidiphila,GH2,2.8865341235953905,1
25426,Escherichia coli,GH2,4.951896640835541,1
25427,Frankia sp.,GH1,2.89027335739317,1
25428,Nitrosospira multiformis,GH2,3.12650645871688,1
25429,Flavobacterium johnsoniae,GH2,3.52515534105155,1
25430,Agrobacterium fabrum,GH2,2.6269014564887203,1
25431,Thermoanaerobacter pseudethanolicus,GH2,3.37065589369722,1
25432,Bacteroides thetaiotaomicron,GH2,5.6683591116453815,1
25433,Shigella boydii,GH2,4.46740066481724,1
25434,Paenibacillus sp.,GH2,3.71630119162046,1
25435,Lactococcus lactis,GH1,4.5353188775982005,1
25436,Lactobacillus johnsonii,GH1,3.82198804499448,1
25437,Opitutus terrae,GH2,2.84900016087073,1
25438,Bacteroides xylanisolvens,GH2,5.75584866860618,1
25439,Thermoanaerobacter italicus,GH2,3.17619519930224,1
25440,Maribacter sp.,GH2,3.44241628507443,1
25441,Escherichia coli,GH2,4.951896640835541,1
25442,Paraburkholderia phymatum,GH1,0.76286904376644,0
25443,Streptomyces bingchenggensis,GH1,2.54626192656466,1
25444,Citrobacter rodentium,GH1,4.0072442770118,1
25445,Flavobacterium johnsoniae,GH1,3.52515534105155,1
25446,Burkholderia mallei,GH2,3.7275489142933305,1
25447,Shigella boydii,GH2,4.46740066481724,1
25448,Escherichia coli,GH2,4.951896640835541,1
25449,Bacteroides thetaiotaomicron,GH2,5.6683591116453815,1
25450,Caulobacter sp.,GH30,2.5739784411092903,1
25451,Bacteroides thetaiotaomicron,GH2,5.6683591116453815,1
25452,Erwinia amylovora,GH2,2.90156557957192,1
25453,Clostridium saccharolyticum,GH1,5.0564901763394685,1
25454,Zunongwangia profunda,GH2,3.4931793177685697,1
25455,Pseudoalteromonas atlantica,GH2,2.3419495330725297,1
25456,Bacteroides vulgatus,GH30,5.9811943271971,1
25457,Xanthomonas campestris,GH30,2.8363215345072503,1
25458,Chitinophaga pinensis,GH30,3.13218186064423,1
25459,Bacteroides vulgatus,GH2,5.9811943271971,1
25460,Geobacillus kaustophilus,GH1,3.17679924879712,1
25461,Burkholderia sp.,GH1,3.1851209730448105,1
25462,Caulobacter sp.,GH2,2.5739784411092903,1
25463,Bacteroides vulgatus,GH2,5.9811943271971,1
25464,Bifidobacterium bifidum,GH1,5.0138339650387005,1
25465,Shewanella pealeana,GH2,2.21293979023834,1
25466,Vibrio cholerae,GH2,2.40198353735233,1
25467,Stackebrandtia nassauensis,GH30,2.7054078848331,1
25468,Streptococcus pneumoniae,GH1,3.8980096134335898,1
25469,Leuconostoc kimchii,GH1,3.5785914167402204,1
25470,Lactobacillus paracasei,GH1,4.03996324087402,1
25471,Herpetosiphon aurantiacus,GH1,2.46721973706614,1
25472,Xylanimonas cellulosilytica,GH1,3.1691527315829,1
25473,Streptococcus dysgalactiae,GH1,3.64352502583433,1
25474,Bacillus megaterium,GH1,3.0927288703237497,1
25475,Escherichia coli,GH1,4.951896640835541,1
25476,Actinobacillus succinogenes,GH1,2.68433808426139,1
25477,Spiroplasma citri,GH1,1.09305429264814,1
25478,Erwinia amylovora,GH1,2.90156557957192,1
25479,Erwinia sp.,GH1,2.9197171442817904,1
25480,Bacteroides thetaiotaomicron,GH2,5.6683591116453815,1
25481,Bacteroides vulgatus,GH2,5.9811943271971,1
25482,Enterobacter lignolyticus,GH2,3.96898872706393,1
25483,Aeromonas hydrophila,GH1,3.1031220522334,1
25484,Streptococcus pneumoniae,GH1,3.8980096134335898,1
25485,Bacteroides xylanisolvens,GH2,5.75584866860618,1
25486,Cytophaga hutchinsonii,GH1,3.43861474475756,1
25487,Streptomyces ambofaciens,GH2,2.5139691602838,1
25488,Paenibacillus sp.,GH2,3.71630119162046,1
25489,Akkermansia muciniphila,GH2,5.31745977923797,1
25490,Paludibacter propionicigenes,GH2,3.91016074253106,1
25491,Clostridium acetobutylicum,GH30,1.97012823445052,0
25492,Acidothermus cellulolyticus,GH1,2.7445074157105696,1
25493,Bacteroides vulgatus,GH2,5.9811943271971,1
25494,Streptococcus pneumoniae,GH1,3.8980096134335898,1
25495,Escherichia coli,GH1,4.951896640835541,1
25496,[Eubacterium] rectale,GH2,5.645131414141622,1
25497,Kribbella flavida,GH2,2.57475751184268,1
25498,Anaerostipes hadrus,GH1,5.39405378158229,1
25499,Streptococcus pneumoniae,GH1,3.8980096134335898,1
25500,Bacteroides thetaiotaomicron,GH2,5.6683591116453815,1
25501,Bacteroides thetaiotaomicron,GH2,5.6683591116453815,1
25502,Actinosynnema mirum,GH2,2.69871879128583,1
25503,Roseburia intestinalis,GH1,5.494855325243268,1
25504,Bifidobacterium longum,GH30,5.04975962481765,1
25505,Pseudescherichia vulneris,GH2,1.36948881771261,0
25506,Paenibacillus sp.,GH30,3.71630119162046,1
25507,Stigmatella aurantiaca,GH2,2.897849609087221,1
25508,Anoxybacillus flavithermus,GH1,3.2913681132921098,1
25509,Prevotella melaninogenica,GH2,4.645622238327031,1
25510,Bradyrhizobium diazoefficiens,GH79,3.16683422685352,1
25511,Burkholderia mallei,GH79,3.7275489142933305,1
25512,Saccharophagus degradans,GH79,2.10550242228245,0
25513,Catenulispora acidiphila,GH79,2.8865341235953905,1
25514,Solibacter usitatus,GH79,3.69438217630694,1
25515,Acidobacterium capsulatum,GH79,2.32592530880298,1
25516,Escherichia coli,GH2,4.951896640835541,1
25517,Escherichia coli,GH2,4.951896640835541,1
25518,Paludibacter propionicigenes,GH2,3.91016074253106,1
25519,Escherichia coli,GH2,4.951896640835541,1
25520,Agathobacter rectalis,GH2,5.641970263140482,1
25521,Flavobacterium johnsoniae,GH2,3.52515534105155,1
25522,Zunongwangia profunda,GH2,3.4931793177685697,1
25523,Maribacter sp.,GH2,3.44241628507443,1
25524,Leadbetterella byssophila,GH2,3.6983600067135,1
25525,Serratia proteamaculans,GH2,3.23130925643518,1
25526,Oenococcus oeni,GH2,3.61026157516056,1
25527,Brachyspira pilosicoli,GH2,3.88820675639214,1
25528,Pseudescherichia vulneris,GH2,1.36948881771261,0
25529,Cutibacterium acnes,GH2,3.52554168695363,1
25530,Paenibacillus sp.,GH2,3.71630119162046,1
25531,Dyadobacter fermentans,GH2,3.41798356307307,1
25532,Lactobacillus sakei,GH2,3.9063651650561,1
25533,Xanthomonas campestris,GH30,2.8363215345072503,1
25534,Spirochaeta thermophila,GH2,3.4127553157188304,1
25535,Streptococcus pneumoniae,GH1,3.8980096134335898,1
25536,Agrobacterium vitis,GH2,2.8615005231949704,1
25537,Shigella flexneri,GH2,4.38421820190403,1
25538,Streptosporangium roseum,GH1,2.7452359403686297,1
25539,Staphylococcus aureus,GH1,3.2538166819417103,1
25540,Rhizobium etli,GH1,2.8013917811185403,1
25541,Oenococcus oeni,GH1,3.61026157516056,1
25542,Clostridioides difficile,GH1,5.0399653062844,1
25543,Bacillus pseudofirmus,GH1,3.07881964120371,1
25544,Escherichia coli,GH2,4.951896640835541,1
25545,Saccharopolyspora erythraea,GH30,2.8299543305236,1
25546,Bacteroides fragilis,GH2,5.3304405525083,1
25547,Lactobacillus gasseri,GH1,2.45910772294242,1
25548,Klebsiella pneumoniae,GH1,3.52749946072475,1
25549,Haliangium ochraceum,GH1,2.9062750286402403,1
25550,Clostridium botulinum,GH1,4.05397480666556,1
25551,Yersinia enterocolitica,GH1,3.2066163388761,1
25552,Streptomyces griseus,GH1,2.6881320451680497,1
25553,Photorhabdus laumondii,GH1,2.24842213775397,1
25554,Bradyrhizobium sp.,GH1,2.9197171442817904,1
25555,Bacillus pumilus,GH1,3.24867068188371,1
25556,Chitinophaga pinensis,GH2,3.13218186064423,1
25557,Bacillus halodurans,GH2,3.3823162016370296,1
25558,Caulobacter sp.,GH1,2.5739784411092903,1
25559,Staphylococcus saprophyticus,GH1,3.06998696544234,1
25560,Erwinia billingiae,GH1,3.24703768471526,1
25561,Lactococcus garvieae,GH1,2.4084693201754304,1
25562,Lactobacillus amylovorus,GH1,4.65159310797398,1
25563,uncultured bacterium,GH2,4.00635846339548,1
25564,Lactobacillus salivarius,GH2,4.26823460353737,1
25565,Acidobacterium capsulatum,GH2,2.32592530880298,1
25566,Streptococcus pyogenes,GH2,4.64590972834113,1
25567,Paenibacillus polymyxa,GH1,3.72719395517451,1
25568,Shewanella baltica,GH1,2.27325869503842,1
25569,Thermoanaerobacterium thermosaccharolyticum,GH1,3.6089697905836498,1
25570,Thermomonospora curvata,GH1,2.80652837228134,1
25571,Rhizobium etli,GH2,2.8013917811185403,1
25572,Mobiluncus curtisii,GH2,4.20948422084936,1
25573,Pectobacterium carotovorum,GH2,3.14644261114384,1
25574,Zunongwangia profunda,GH30,3.4931793177685697,1
25575,Opitutus terrae,GH2,2.84900016087073,1
25576,Sorangium cellulosum,GH1,2.50258378723307,1
25577,Sanguibacter keddieii,GH1,2.85570130833601,1
25578,Escherichia coli,GH2,4.951896640835541,1
25579,Paenibacillus polymyxa,GH1,3.72719395517451,1
25580,Shigella boydii,GH2,4.46740066481724,1
25581,Bacteroides xylanisolvens,GH2,5.75584866860618,1
25582,Escherichia coli,GH2,4.951896640835541,1
25583,Exiguobacterium sp.,GH1,3.6040414012016297,1
25584,Flavobacterium johnsoniae,GH30,3.52515534105155,1
25585,Escherichia coli,GH2,4.951896640835541,1
25586,Lactococcus garvieae,GH1,2.4084693201754304,1
25587,Yersinia enterocolitica,GH1,3.2066163388761,1
25588,Dickeya chrysanthemi,GH2,2.98593437565945,1
25589,Staphylococcus carnosus,GH2,3.46118846613643,1
25590,Bacteroides xylanisolvens,GH2,5.75584866860618,1
25591,Arcanobacterium haemolyticum,GH2,3.0457762626987006,1
25592,Prevotella ruminicola,GH2,4.4647447951226695,1
25593,Bacteroides fragilis,GH2,5.3304405525083,1
25594,Kribbella flavida,GH2,2.57475751184268,1
25595,Bifidobacterium animalis,GH2,4.3260319423846205,1
25596,Salmonella typhimurium,GH1,3.27867560719618,1
25597,Streptococcus suis,GH1,4.75869111023251,1
25598,Clavibacter michiganensis,GH2,3.01942261166098,1
25599,Pseudothermotoga lettingae,GH2,2.00306092804824,1
25600,Lactococcus lactis,GH2,4.5353188775982005,1
25601,Bacteroides thetaiotaomicron,GH2,5.6683591116453815,1
25602,Escherichia coli,GH2,4.951896640835541,1
25603,Streptomyces scabiei,GH2,2.58395741874664,1
25604,Bacteroides fragilis,GH2,5.3304405525083,1
25605,Streptococcus thermophilus,GH2,3.2381812750938703,1
25606,Bacteroides fragilis,GH2,5.3304405525083,1
25607,Lactobacillus crispatus,GH2,3.9118347306094905,1
25608,Shigella boydii,GH2,4.46740066481724,1
25609,Edwardsiella ictaluri,GH2,3.12254867644687,1
25610,Burkholderia vietnamiensis,GH2,2.7155710656844105,1
25611,Paraburkholderia xenovorans,GH1,3.17589268199998,1
25612,Thermoanaerobacter mathranii,GH2,3.2122485161532794,1
25613,Paenibacillus sp.,GH2,3.71630119162046,1
25614,Frankia inefficax,GH2,2.92194199410919,1
25615,Ruegeria sp.,GH2,2.92341186648386,1
25616,Actinobacillus succinogenes,GH2,2.68433808426139,1
25617,Caldicellulosiruptor obsidiansis,GH2,3.2322985078661604,1
25618,Burkholderia lata,GH2,2.63378829647052,1
25619,Neisseria lactamica,GH2,3.176069843906129,1
25620,Lactobacillus delbrueckii,GH2,4.3305389815812,1
25621,Leuconostoc mesenteroides,GH2,4.40393892545684,1
25622,Bacillus megaterium,GH1,3.0927288703237497,1
25623,Blautia obeum,GH1,5.41829817977505,1
25624,Kineococcus radiotolerans,GH1,3.03645741994958,1
25625,Caldicellulosiruptor kronotskyensis,GH2,3.16266917664214,1
25626,Streptococcus suis,GH1,4.75869111023251,1
25627,Streptomyces griseus,GH1,2.6881320451680497,1
25628,Streptosporangium roseum,CBM57,2.7452359403686297,1
25629,Spiroplasma citri,GH1,1.09305429264814,1
25630,Starkeya novella,GH1,2.48737264664513,1
25631,Bacillus subtilis,GH1,3.02064923105006,1
25632,Caldicellulosiruptor kristjanssonii,GH1,3.125858087166,1
25633,Nakamurella multipartita,GH1,2.61757467666433,1
25634,Cronobacter sakazakii,GH1,3.66391710192657,1
25635,Gloeothece verrucosa,GH1,2.38528129167666,1
25636,Enterococcus faecalis,GH1,4.49339211643988,1
25637,Streptomyces griseus,GH1,2.6881320451680497,1
25638,Staphylococcus epidermidis,GH1,3.15177355808424,1
25639,Streptococcus pyogenes,GH1,4.64590972834113,1
25640,Pantoea ananatis,GH1,3.1966861500678,1
25641,Escherichia coli,GH1,4.951896640835541,1
25642,Escherichia coli,GH1,4.951896640835541,1
25643,Micromonospora aurantiaca,GH1,2.65674751315687,1
25644,Escherichia coli,GH2,4.951896640835541,1
25645,Streptosporangium roseum,GH2,2.7452359403686297,1
25646,Stigmatella aurantiaca,GH2,2.897849609087221,1
25647,Geobacillus sp.,GH2,3.64830473035353,1
25648,Bacteroides thetaiotaomicron,GH2,5.6683591116453815,1
25649,Pectobacterium atrosepticum,GH2,2.9775399136315097,1
25650,Salinispora tropica,GH1,2.51207408270967,1
25651,Zunongwangia profunda,GH2,3.4931793177685697,1
25652,Rhizobium leguminosarum,GH2,2.7656644968592,1
25653,Shewanella loihica,GH2,2.11652709318723,1
25654,Shigella boydii,GH2,4.46740066481724,1
25655,Streptomyces ambofaciens,GH2,2.5139691602838,1
25656,Leuconostoc kimchii,GH2,3.5785914167402204,1
25657,Escherichia coli,GH2,4.951896640835541,1
25658,Escherichia coli,GH2,4.951896640835541,1
25659,Flavobacterium johnsoniae,GH2,3.52515534105155,1
25660,Lachnoclostridium phytofermentans,GH2,4.4406206293143,1
25661,Staphylococcus aureus,GH1,3.2538166819417103,1
25662,Streptococcus mutans,GH1,4.02624930443224,1
25663,Mycoplasma leachii,GH1,3.3263519050807595,1
25664,Dickeya zeae,GH1,3.05858332003046,1
25665,Clostridium acetobutylicum,GH1,1.97012823445052,0
25666,Streptococcus equi,GH2,3.49121082104918,1
25667,Deinococcus geothermalis,GH2,2.5287326529694303,1
25668,Butyrivibrio proteoclasticus,GH2,4.21337592324907,1
25669,Clavibacter michiganensis,GH2,3.01942261166098,1
25670,Erwinia tasmaniensis,GH2,2.89666889041125,1
25671,Lactobacillus acidophilus,GH1,4.39104361631789,1
25672,Mycoplasma mycoides,GH1,3.4421923484469,1
25673,Vibrio tasmaniensis,GH1,1.1399142828274,0
25674,Streptococcus pyogenes,GH1,4.64590972834113,1
25675,Eubacterium eligens,GH1,5.232516295561268,1
25676,Streptococcus thermophilus,GH2,3.2381812750938703,1
25677,Serratia proteamaculans,GH1,3.23130925643518,1
25678,Klebsiella pneumoniae,GH1,3.52749946072475,1
25679,Shigella flexneri,GH2,4.38421820190403,1
25680,Escherichia coli,GH2,4.951896640835541,1
25681,Caldicellulosiruptor owensensis,GH2,3.1050775947591096,1
25682,Clavibacter michiganensis,GH2,3.01942261166098,1
25683,Escherichia coli,GH2,4.951896640835541,1
25684,Paenibacillus polymyxa,GH1,3.72719395517451,1
25685,Clostridium saccharolyticum,GH1,5.0564901763394685,1
25686,Lactococcus garvieae,GH1,2.4084693201754304,1
25687,Leuconostoc kimchii,GH1,3.5785914167402204,1
25688,Escherichia coli,GH2,4.951896640835541,1
